algorithm,n,height,time
FFDH,2710,713.699,0.0050159
NFDH,2710,904.8,0.0002378
SF,2710,792.749,0.0035806
FFDH,2720,705.251,0.0052922
NFDH,2720,901.694,0.0002462
SF,2720,797.297,0.0034266
FFDH,2730,725.733,0.0056762
NFDH,2730,917.35,0.0002376
SF,2730,797.275,0.0036262
FFDH,2740,737.293,0.0050659
NFDH,2740,936.308,0.0002346
SF,2740,816.641,0.0035854
FFDH,2750,692.372,0.0053253
NFDH,2750,879.5,0.0002429
SF,2750,763.437,0.0034488
FFDH,2760,714.228,0.0050733
NFDH,2760,913.988,0.0002716
SF,2760,792.639,0.0034872
FFDH,2770,732.436,0.0053968
NFDH,2770,921.347,0.0002418
SF,2770,809.633,0.0036209
FFDH,2780,742.086,0.0052098
NFDH,2780,944.054,0.0002368
SF,2780,823.437,0.003926
FFDH,2790,757.058,0.0052829
NFDH,2790,953.658,0.000286
SF,2790,850.963,0.0036972
FFDH,2800,755.262,0.0057691
NFDH,2800,958.816,0.0002396
SF,2800,838.647,0.0036099
FFDH,2810,726.972,0.0052561
NFDH,2810,918.721,0.0002463
SF,2810,812.199,0.0037583
FFDH,2820,729.354,0.0055411
NFDH,2820,941.241,0.0002444
SF,2820,812.11,0.0036063
FFDH,2830,741.028,0.0056892
NFDH,2830,938.313,0.0002589
SF,2830,824.015,0.0039092
FFDH,2840,742.781,0.0054635
NFDH,2840,943.758,0.0002398
SF,2840,822.162,0.0037533
FFDH,2850,742.877,0.0057061
NFDH,2850,929.088,0.0003058
SF,2850,827.097,0.0039314
FFDH,2860,751,0.0054445
NFDH,2860,954.201,0.000243
SF,2860,831.403,0.0036647
FFDH,2870,759.58,0.0055855
NFDH,2870,966.862,0.0002647
SF,2870,851.288,0.0037395
FFDH,2880,736.302,0.0054811
NFDH,2880,940.737,0.0002448
SF,2880,813.1,0.0037408
FFDH,2890,758.62,0.0055918
NFDH,2890,953.454,0.0002459
SF,2890,843.906,0.0038835
FFDH,2900,781.655,0.0056575
NFDH,2900,979.683,0.0002492
SF,2900,865.119,0.0039867
FFDH,2910,767.4,0.0056352
NFDH,2910,983.061,0.0002684
SF,2910,857.794,0.0037824
FFDH,2920,786.586,0.0059319
NFDH,2920,994.871,0.0002495
SF,2920,876.57,0.0042268
FFDH,2930,779.345,0.0057352
NFDH,2930,983.825,0.0002434
SF,2930,862.268,0.0040301
FFDH,2940,761.537,0.0058649
NFDH,2940,957.541,0.0002552
SF,2940,844.79,0.003912
FFDH,2950,778.545,0.0058872
NFDH,2950,992.805,0.0002708
SF,2950,864.092,0.0039467
FFDH,2960,772.498,0.0057022
NFDH,2960,974.15,0.000248
SF,2960,861.523,0.0038691
FFDH,2970,770.959,0.0059198
NFDH,2970,971.202,0.000254
SF,2970,844.413,0.0039227
FFDH,2980,777.718,0.0059295
NFDH,2980,987.989,0.0002551
SF,2980,867.725,0.0042692
FFDH,2990,799.149,0.006142
NFDH,2990,1009.36,0.0002655
SF,2990,894.584,0.0045333
FFDH,3000,778.206,0.0062448
NFDH,3000,986.65,0.0002623
SF,3000,863.437,0.0041372
FFDH,3010,778.971,0.0060527
NFDH,3010,993.741,0.0003045
SF,3010,864.674,0.0041407
FFDH,3020,782.522,0.0061859
NFDH,3020,997.569,0.0002609
SF,3020,860.354,0.0040839
FFDH,3030,798.311,0.0061542
NFDH,3030,1008.06,0.0002612
SF,3030,886.782,0.0043683
FFDH,3040,778.698,0.0064429
NFDH,3040,1000.27,0.0002579
SF,3040,862.794,0.0045007
FFDH,3050,802.534,0.0063054
NFDH,3050,1016.63,0.0002574
SF,3050,891.067,0.0044367
FFDH,3060,814.631,0.0062072
NFDH,3060,1036.1,0.0002594
SF,3060,904.2,0.004177
FFDH,3070,822.246,0.0064025
NFDH,3070,1047.23,0.0002575
SF,3070,914.333,0.0044549
FFDH,3080,795.732,0.0062607
NFDH,3080,1014.89,0.0002578
SF,3080,871.316,0.0040606
FFDH,3090,798.579,0.0064597
NFDH,3090,1026.04,0.0002622
SF,3090,896.575,0.004293
FFDH,3100,802.232,0.0063019
NFDH,3100,1016.5,0.0002549
SF,3100,894.944,0.0043716
FFDH,3110,808.02,0.0064531
NFDH,3110,1043.39,0.0002564
SF,3110,901.034,0.004404
FFDH,3120,807.939,0.0065231
NFDH,3120,1025.79,0.0002712
SF,3120,892.237,0.004511
FFDH,3130,826.01,0.0066351
NFDH,3130,1051.75,0.0002569
SF,3130,921.053,0.0046149
FFDH,3140,800.174,0.0064436
NFDH,3140,1029.2,0.0002729
SF,3140,892.034,0.0043833
FFDH,3150,820.217,0.0066225
NFDH,3150,1037.62,0.0002645
SF,3150,907.165,0.0045086
FFDH,3160,852.302,0.0067799
NFDH,3160,1071.06,0.0002664
SF,3160,951.132,0.0045505
FFDH,3170,818.605,0.0067004
NFDH,3170,1046.01,0.000272
SF,3170,918.789,0.0046591
FFDH,3180,833.483,0.0067057
NFDH,3180,1050.06,0.0002692
SF,3180,930.267,0.00457
FFDH,3190,812.728,0.0069526
NFDH,3190,1036.17,0.0002685
SF,3190,897.003,0.0045317
FFDH,3200,874.91,0.0084661
NFDH,3200,1100.29,0.0002625
SF,3200,974.658,0.0047121
FFDH,3210,822.063,0.0070859
NFDH,3210,1052.49,0.0002764
SF,3210,906.473,0.0049477
FFDH,3220,830.455,0.0070182
NFDH,3220,1053.85,0.0002731
SF,3220,919.881,0.0046395
FFDH,3230,858.795,0.0068952
NFDH,3230,1083.63,0.0005157
SF,3230,950.187,0.0049719
FFDH,3240,840.951,0.0070262
NFDH,3240,1081.85,0.0002774
SF,3240,929.52,0.0045498
FFDH,3250,858.528,0.0070491
NFDH,3250,1086.69,0.0002718
SF,3250,956.716,0.0048181
FFDH,3260,848.367,0.0070873
NFDH,3260,1079.2,0.0003552
SF,3260,943.413,0.0046283
FFDH,3270,854.094,0.0082557
NFDH,3270,1098.58,0.0002688
SF,3270,954.129,0.0051127
FFDH,3280,863.166,0.0080503
NFDH,3280,1098.37,0.0002757
SF,3280,963.248,0.0050308
FFDH,3290,876.115,0.007421
NFDH,3290,1116.29,0.0002756
SF,3290,971.791,0.0050844
FFDH,3300,867.441,0.0074352
NFDH,3300,1101.74,0.0002773
SF,3300,969.784,0.0049889
FFDH,3310,875.461,0.007615
NFDH,3310,1116.29,0.0002725
SF,3310,975.071,0.0051091
FFDH,3320,863.449,0.0077768
NFDH,3320,1104.01,0.0002795
SF,3320,960.508,0.0048789
FFDH,3330,865.925,0.0075759
NFDH,3330,1112.28,0.0002852
SF,3330,957.217,0.0048805
FFDH,3340,864.505,0.0072766
NFDH,3340,1104.18,0.0002856
SF,3340,968.465,0.0051977
FFDH,3350,881.141,0.0073314
NFDH,3350,1116.71,0.0002788
SF,3350,976.984,0.0048898
FFDH,3360,885.115,0.007808
NFDH,3360,1130.02,0.0002775
SF,3360,984.969,0.0049113
FFDH,3370,874.338,0.0077036
NFDH,3370,1117.45,0.0002809
SF,3370,971.065,0.0051786
FFDH,3380,885.094,0.007568
NFDH,3380,1135,0.0003176
SF,3380,986.482,0.0049361
FFDH,3390,884.479,0.0076763
NFDH,3390,1125.57,0.0002821
SF,3390,988.292,0.0051774
FFDH,3400,905.13,0.007623
NFDH,3400,1156.29,0.0002734
SF,3400,1008.23,0.0051752
FFDH,3410,875.152,0.0075666
NFDH,3410,1106.97,0.0002861
SF,3410,969.039,0.0049613
FFDH,3420,881.799,0.007942
NFDH,3420,1129.62,0.0002807
SF,3420,986.258,0.0049807
FFDH,3430,908.581,0.0080705
NFDH,3430,1166.19,0.0004685
SF,3430,1008.81,0.0053893
FFDH,3440,899.359,0.0079755
NFDH,3440,1154.44,0.0002827
SF,3440,996.262,0.0060787
FFDH,3450,912.881,0.0081853
NFDH,3450,1152.28,0.0002808
SF,3450,1023.92,0.0054072
FFDH,3460,885.609,0.0077164
NFDH,3460,1131.49,0.0002835
SF,3460,993.515,0.0051328
FFDH,3470,917.354,0.0082571
NFDH,3470,1161.34,0.0002886
SF,3470,1036.9,0.0054804
FFDH,3480,922.788,0.0082556
NFDH,3480,1175.65,0.0002867
SF,3480,1029.11,0.0054655
FFDH,3490,928.947,0.0085363
NFDH,3490,1172.8,0.0002922
SF,3490,1030.92,0.0053605
FFDH,3500,943.063,0.0081855
NFDH,3500,1204.58,0.0003048
SF,3500,1053.77,0.0058774
FFDH,3510,913.738,0.0081026
NFDH,3510,1167.27,0.0002884
SF,3510,1025.69,0.0054245
FFDH,3520,909.43,0.0080243
NFDH,3520,1157.61,0.0002776
SF,3520,1007.14,0.0054194
FFDH,3530,945.228,0.0088949
NFDH,3530,1195.67,0.0002974
SF,3530,1047.82,0.0058819
FFDH,3540,933.728,0.0083215
NFDH,3540,1186.51,0.0002954
SF,3540,1042.01,0.0056481
FFDH,3550,920.553,0.0084779
NFDH,3550,1180.55,0.0002923
SF,3550,1025.27,0.0054738
FFDH,3560,929.387,0.0084601
NFDH,3560,1178.59,0.0003319
SF,3560,1037.09,0.0054482
FFDH,3570,934.756,0.0084581
NFDH,3570,1187.83,0.000331
SF,3570,1038.54,0.0058867
FFDH,3580,912.514,0.0087457
NFDH,3580,1172.76,0.0003614
SF,3580,1013.7,0.0055337
FFDH,3590,948.252,0.0085325
NFDH,3590,1211.77,0.0003514
SF,3590,1044.21,0.0057916
FFDH,3600,943.742,0.0085688
NFDH,3600,1217.25,0.0003598
SF,3600,1062.02,0.0056823
FFDH,3610,894.078,0.0083303
NFDH,3610,1141.15,0.0003319
SF,3610,982.253,0.005717
FFDH,3620,948.457,0.0088503
NFDH,3620,1206.5,0.0003979
SF,3620,1061.01,0.0056579
FFDH,3630,968.437,0.0089815
NFDH,3630,1232.45,0.0002935
SF,3630,1068.84,0.0057254
FFDH,3640,936.448,0.009051
NFDH,3640,1205.6,0.0002981
SF,3640,1045.84,0.0056142
FFDH,3650,946.898,0.0088795
NFDH,3650,1208.62,0.0003004
SF,3650,1064.75,0.0058032
FFDH,3660,970.343,0.0093105
NFDH,3660,1242.21,0.000288
SF,3660,1088.47,0.005774
FFDH,3670,967.094,0.0090569
NFDH,3670,1218.51,0.0002966
SF,3670,1073.61,0.0058887
FFDH,3680,989.204,0.0094285
NFDH,3680,1244.76,0.0002974
SF,3680,1103.65,0.0061944
FFDH,3690,952.457,0.008934
NFDH,3690,1216.94,0.0002984
SF,3690,1066.9,0.005924
FFDH,3700,955.688,0.0088865
NFDH,3700,1235.51,0.0003191
SF,3700,1071.81,0.0058228
FFDH,3710,974.114,0.009212
NFDH,3710,1240.34,0.0003195
SF,3710,1096.25,0.006234
FFDH,3720,972.757,0.0090904
NFDH,3720,1239.13,0.000302
SF,3720,1080.97,0.006353
FFDH,3730,970.724,0.009356
NFDH,3730,1244.54,0.0003207
SF,3730,1092.57,0.0062735
FFDH,3740,956.797,0.008973
NFDH,3740,1226.08,0.0003014
SF,3740,1062.03,0.0059317
FFDH,3750,975.547,0.009051
NFDH,3750,1245.39,0.0003014
SF,3750,1089.57,0.0061192
FFDH,3760,992.931,0.0093753
NFDH,3760,1272.43,0.0003098
SF,3760,1109.32,0.0064638
FFDH,3770,1007.85,0.0094187
NFDH,3770,1288.76,0.0003106
SF,3770,1122.8,0.0062597
FFDH,3780,963.029,0.0092467
NFDH,3780,1239.65,0.0003142
SF,3780,1066.84,0.0062668
FFDH,3790,1016.4,0.009514
NFDH,3790,1296.15,0.0003111
SF,3790,1133.48,0.0067394
FFDH,3800,1023.75,0.0096566
NFDH,3800,1306.99,0.0006264
SF,3800,1144,0.0065636
FFDH,3810,1002.87,0.0095843
NFDH,3810,1283.18,0.0003096
SF,3810,1118.36,0.0066609
FFDH,3820,987.912,0.0096655
NFDH,3820,1258.8,0.0003239
SF,3820,1096.29,0.0063914
FFDH,3830,981.241,0.0096815
NFDH,3830,1249.13,0.0003048
SF,3830,1094.95,0.0064084
FFDH,3840,996.457,0.0096145
NFDH,3840,1270.87,0.0003053
SF,3840,1114.55,0.0063303
FFDH,3850,999.307,0.0096564
NFDH,3850,1267.74,0.0003042
SF,3850,1106.63,0.0063412
FFDH,3860,1043.85,0.0098769
NFDH,3860,1309.85,0.0003043
SF,3860,1164.11,0.0070933
FFDH,3870,1001.93,0.0100004
NFDH,3870,1270.03,0.0003161
SF,3870,1113.02,0.0066397
FFDH,3880,1041.44,0.0101368
NFDH,3880,1325.38,0.000311
SF,3880,1160.38,0.0068603
FFDH,3890,1018.65,0.0101445
NFDH,3890,1294.74,0.0003393
SF,3890,1133.32,0.0066479
FFDH,3900,1010.86,0.0109279
NFDH,3900,1303.22,0.0003298
SF,3900,1129.5,0.0066972
FFDH,3910,1038.16,0.0103795
NFDH,3910,1319.6,0.0003283
SF,3910,1167.59,0.0067734
FFDH,3920,1049.05,0.0105596
NFDH,3920,1325.49,0.00032
SF,3920,1171.95,0.0068206
FFDH,3930,1016.91,0.0106771
NFDH,3930,1301.14,0.0003218
SF,3930,1122.94,0.0066133
FFDH,3940,1018.15,0.0101547
NFDH,3940,1300.5,0.0003239
SF,3940,1139.86,0.006804
FFDH,3950,1049.6,0.0104195
NFDH,3950,1341.29,0.0003279
SF,3950,1172.45,0.0067414
FFDH,3960,1056.57,0.0105505
NFDH,3960,1353.88,0.0003235
SF,3960,1194.4,0.0072445
FFDH,3970,1043.87,0.0103853
NFDH,3970,1331.94,0.0003207
SF,3970,1159.2,0.0069079
FFDH,3980,1016.42,0.0104787
NFDH,3980,1302.47,0.0003527
SF,3980,1131.72,0.0067283
FFDH,3990,1062.43,0.0105751
NFDH,3990,1365.63,0.0003154
SF,3990,1189.87,0.0070705
FFDH,4000,1050.6,0.0102369
NFDH,4000,1334.24,0.000322
SF,4000,1171.32,0.007468
FFDH,4010,1029.76,0.0102756
NFDH,4010,1319.9,0.0003217
SF,4010,1150.85,0.0068091
FFDH,4020,1048.6,0.0104347
NFDH,4020,1337.78,0.0003366
SF,4020,1171.32,0.0069925
FFDH,4030,1040.38,0.0105021
NFDH,4030,1333.19,0.0003348
SF,4030,1164.71,0.0077765
FFDH,4040,1063.95,0.0109897
NFDH,4040,1339.69,0.000323
SF,4040,1188.06,0.0073198
FFDH,4050,1041.65,0.0106991
NFDH,4050,1327.9,0.0003259
SF,4050,1157.94,0.0069938
FFDH,4060,1080.64,0.011407
NFDH,4060,1391.77,0.0003333
SF,4060,1215.6,0.007515
FFDH,4070,1044.63,0.0107344
NFDH,4070,1339.8,0.0003215
SF,4070,1172.99,0.0071462
FFDH,4080,1053.19,0.010777
NFDH,4080,1343.83,0.0003265
SF,4080,1166.36,0.0072565
FFDH,4090,1058.15,0.0111964
NFDH,4090,1354.26,0.0003194
SF,4090,1186.11,0.0074671
FFDH,4100,1083.36,0.0108921
NFDH,4100,1381.86,0.0003707
SF,4100,1203.21,0.0073881
FFDH,4110,1068.36,0.0110805
NFDH,4110,1371.43,0.0003618
SF,4110,1196.5,0.0071981
FFDH,4120,1085.79,0.0120893
NFDH,4120,1393.31,0.0004261
SF,4120,1211.72,0.0079963
FFDH,4130,1068.39,0.0113444
NFDH,4130,1359.78,0.0003924
SF,4130,1176.53,0.0077727
FFDH,4140,1086.21,0.0114406
NFDH,4140,1384.44,0.000366
SF,4140,1219.13,0.0076209
FFDH,4150,1081.18,0.0115834
NFDH,4150,1379.44,0.0004649
SF,4150,1217.31,0.0077943
FFDH,4160,1096.54,0.0124371
NFDH,4160,1402.94,0.0003772
SF,4160,1228.96,0.0076984
FFDH,4170,1094.26,0.0117073
NFDH,4170,1389.35,0.000352
SF,4170,1231.15,0.0075471
FFDH,4180,1063.84,0.0115883
NFDH,4180,1361.98,0.0003653
SF,4180,1178.44,0.0076143
FFDH,4190,1099.84,0.0117023
NFDH,4190,1419.49,0.0003684
SF,4190,1228.42,0.0082224
FFDH,4200,1107.18,0.0125339
NFDH,4200,1414.76,0.0003784
SF,4200,1236.44,0.0078518
FFDH,4210,1108,0.0120832
NFDH,4210,1424.87,0.0003751
SF,4210,1248.61,0.0076681
FFDH,4220,1116.39,0.0130294
NFDH,4220,1435.04,0.0008339
SF,4220,1260.78,0.0083105
FFDH,4230,1080.22,0.0118713
NFDH,4230,1391.95,0.0003646
SF,4230,1210.52,0.0075374
FFDH,4240,1122.42,0.0128383
NFDH,4240,1448.61,0.0003716
SF,4240,1260.94,0.00798
FFDH,4250,1106.4,0.0118625
NFDH,4250,1405.26,0.0003693
SF,4250,1235.96,0.0078954
FFDH,4260,1129.29,0.0118754
NFDH,4260,1451.15,0.0003718
SF,4260,1268.92,0.0079638
FFDH,4270,1079.92,0.0117255
NFDH,4270,1388.55,0.0003766
SF,4270,1202.15,0.0075625
FFDH,4280,1099.35,0.0119037
NFDH,4280,1405.9,0.0003802
SF,4280,1222.15,0.0079423
FFDH,4290,1119.68,0.0121875
NFDH,4290,1427.27,0.0003672
SF,4290,1259.82,0.0079308
FFDH,4300,1135.54,0.0122377
NFDH,4300,1460.16,0.0004077
SF,4300,1269.55,0.0082488
FFDH,4310,1126.04,0.0122112
NFDH,4310,1452.1,0.0003638
SF,4310,1257.54,0.0085097
FFDH,4320,1130.74,0.0123287
NFDH,4320,1437.11,0.0003707
SF,4320,1262.15,0.008137
FFDH,4330,1136.54,0.0125478
NFDH,4330,1455.23,0.0004063
SF,4330,1278.88,0.0081277
FFDH,4340,1125.07,0.0121914
NFDH,4340,1444.74,0.0003565
SF,4340,1259.27,0.0082396
FFDH,4350,1136.63,0.0121472
NFDH,4350,1465.71,0.0003668
SF,4350,1269.45,0.0080252
FFDH,4360,1160.86,0.0125316
NFDH,4360,1476.51,0.0003787
SF,4360,1306.62,0.0087105
FFDH,4370,1125.46,0.0134713
NFDH,4370,1440.98,0.0003747
SF,4370,1260.86,0.0081162
FFDH,4380,1129.51,0.0124057
NFDH,4380,1453.15,0.0003677
SF,4380,1264.34,0.0084048
FFDH,4390,1112.66,0.0125149
NFDH,4390,1429.73,0.0003789
SF,4390,1247.13,0.0080418
FFDH,4400,1172.85,0.0130039
NFDH,4400,1495.59,0.0003799
SF,4400,1311.9,0.0091124
FFDH,4410,1151.92,0.0130943
NFDH,4410,1479.99,0.0003666
SF,4410,1280.2,0.0084061
FFDH,4420,1168.5,0.0129547
NFDH,4420,1485.71,0.000371
SF,4420,1313.37,0.0084891
FFDH,4430,1168.03,0.0127281
NFDH,4430,1489.5,0.0003799
SF,4430,1305.9,0.0084709
FFDH,4440,1146.49,0.0126929
NFDH,4440,1473.38,0.0003957
SF,4440,1282.98,0.0083365
FFDH,4450,1123.22,0.0128724
NFDH,4450,1440.69,0.0003865
SF,4450,1259.91,0.0087418
FFDH,4460,1192.09,0.0129877
NFDH,4460,1518.82,0.0003763
SF,4460,1342.3,0.0089706
FFDH,4470,1148,0.012963
NFDH,4470,1467.65,0.0003775
SF,4470,1284.41,0.0089355
FFDH,4480,1153.79,0.0131588
NFDH,4480,1482.27,0.0003841
SF,4480,1293.3,0.0085332
FFDH,4490,1170.07,0.0131463
NFDH,4490,1494.7,0.0003739
SF,4490,1314.54,0.0090061
FFDH,4500,1174.46,0.0137612
NFDH,4500,1492.74,0.0005291
SF,4500,1315.92,0.0085475
FFDH,4510,1183.05,0.0131964
NFDH,4510,1509.31,0.000387
SF,4510,1320.34,0.0086872
FFDH,4520,1160.84,0.0135858
NFDH,4520,1494.34,0.0003856
SF,4520,1294.78,0.0086716
FFDH,4530,1194.39,0.0138954
NFDH,4530,1515.58,0.0003764
SF,4530,1330.34,0.0089633
FFDH,4540,1179.14,0.0134179
NFDH,4540,1521.86,0.000372
SF,4540,1317.53,0.0086915
FFDH,4550,1195.45,0.0134978
NFDH,4550,1537.12,0.0003745
SF,4550,1339.48,0.0090804
FFDH,4560,1201.67,0.013453
NFDH,4560,1541.99,0.0003776
SF,4560,1337.94,0.0087035
FFDH,4570,1161.57,0.0134197
NFDH,4570,1484.72,0.0004143
SF,4570,1294.42,0.009058
FFDH,4580,1180.95,0.0138335
NFDH,4580,1511.76,0.0003926
SF,4580,1331.82,0.0090254
FFDH,4590,1185.81,0.0136127
NFDH,4590,1522.52,0.0003847
SF,4590,1322.27,0.0090604
FFDH,4600,1195.65,0.0138013
NFDH,4600,1524.69,0.0004379
SF,4600,1347.29,0.0092093
FFDH,4610,1187.22,0.013803
NFDH,4610,1510.6,0.0003768
SF,4610,1322.21,0.0088544
FFDH,4620,1239.98,0.0139532
NFDH,4620,1582.63,0.0003804
SF,4620,1388.4,0.0092548
FFDH,4630,1190.25,0.014129
NFDH,4630,1514.07,0.0003847
SF,4630,1325.14,0.0089552
FFDH,4640,1209.38,0.0141981
NFDH,4640,1547.08,0.0003927
SF,4640,1338.33,0.0092593
FFDH,4650,1215.56,0.0141337
NFDH,4650,1561.11,0.0003814
SF,4650,1365.5,0.0091368
FFDH,4660,1216.36,0.0142092
NFDH,4660,1549.16,0.0003978
SF,4660,1353.34,0.0092963
FFDH,4670,1216.26,0.0143011
NFDH,4670,1566.57,0.0004337
SF,4670,1362.63,0.0092963
FFDH,4680,1254.23,0.014557
NFDH,4680,1596.03,0.0004166
SF,4680,1395.96,0.0096099
FFDH,4690,1234.71,0.0153221
NFDH,4690,1574.98,0.0004287
SF,4690,1387.44,0.0093539
FFDH,4700,1221.04,0.0145403
NFDH,4700,1556.48,0.0004881
SF,4700,1360.9,0.0094093
FFDH,4710,1216.85,0.0146409
NFDH,4710,1558.13,0.0004251
SF,4710,1366.53,0.0095799
FFDH,4720,1225.27,0.0143767
NFDH,4720,1561.33,0.0004383
SF,4720,1362.39,0.0093031
FFDH,4730,1259.17,0.0144475
NFDH,4730,1605.77,0.0004508
SF,4730,1418.78,0.0095844
FFDH,4740,1219.67,0.0145659
NFDH,4740,1554.2,0.0004307
SF,4740,1374.07,0.00989
FFDH,4750,1209.36,0.0141745
NFDH,4750,1541.04,0.0004926
SF,4750,1348.3,0.0092497
FFDH,4760,1267.77,0.0147559
NFDH,4760,1617.17,0.0004236
SF,4760,1423.72,0.0100021
FFDH,4770,1256.49,0.0147328
NFDH,4770,1601.96,0.0004953
SF,4770,1400.44,0.0095054
FFDH,4780,1242.64,0.0152841
NFDH,4780,1593.98,0.0004453
SF,4780,1390.97,0.0101705
FFDH,4790,1245.46,0.0151265
NFDH,4790,1590.2,0.000464
SF,4790,1393.57,0.0097985
FFDH,4800,1249.45,0.0151485
NFDH,4800,1609.88,0.0004438
SF,4800,1394.08,0.010308
FFDH,4810,1243.08,0.0156008
NFDH,4810,1589.69,0.0005132
SF,4810,1399.58,0.0097079
FFDH,4820,1269.14,0.015176
NFDH,4820,1618.54,0.0004432
SF,4820,1422.84,0.0102064
FFDH,4830,1292.61,0.0155514
NFDH,4830,1649.97,0.0004524
SF,4830,1453.53,0.010587
FFDH,4840,1280.74,0.0159326
NFDH,4840,1639.6,0.0004469
SF,4840,1441.31,0.0099427
FFDH,4850,1261.31,0.0153242
NFDH,4850,1617.19,0.000449
SF,4850,1410.77,0.0104707
FFDH,4860,1248.75,0.0153028
NFDH,4860,1594.86,0.0004689
SF,4860,1395.47,0.0099637
FFDH,4870,1254.18,0.0156304
NFDH,4870,1604.67,0.000459
SF,4870,1405.35,0.0099933
FFDH,4880,1259.61,0.0153668
NFDH,4880,1613.77,0.0006545
SF,4880,1417.57,0.0101301
FFDH,4890,1274.31,0.0151264
NFDH,4890,1619.15,0.0004492
SF,4890,1433.84,0.010396
FFDH,4900,1281.68,0.0162571
NFDH,4900,1639.44,0.0004595
SF,4900,1432.35,0.0103378
FFDH,4910,1275.3,0.0154714
NFDH,4910,1616.2,0.0004523
SF,4910,1426.73,0.0099842
FFDH,4920,1273.4,0.0156185
NFDH,4920,1633.95,0.0004571
SF,4920,1416.95,0.0100245
FFDH,4930,1261.54,0.0155611
NFDH,4930,1610.11,0.0004615
SF,4930,1410.11,0.0102768
FFDH,4940,1261.42,0.0154712
NFDH,4940,1623.39,0.0004614
SF,4940,1413.1,0.0103061
FFDH,4950,1302.74,0.0157908
NFDH,4950,1676.56,0.0004614
SF,4950,1451.17,0.0103991
FFDH,4960,1311.17,0.0161827
NFDH,4960,1674.89,0.0004687
SF,4960,1463.92,0.0107697
FFDH,4970,1302.55,0.015948
NFDH,4970,1656.18,0.0004716
SF,4970,1445.86,0.01047
FFDH,4980,1294.69,0.0159659
NFDH,4980,1645.59,0.0005054
SF,4980,1443.81,0.0106881
FFDH,4990,1300.61,0.0161519
NFDH,4990,1656.54,0.0004777
SF,4990,1456.57,0.0104736
FFDH,5000,1293.84,0.0164167
NFDH,5000,1663.13,0.0004608
SF,5000,1451.78,0.0104539
FFDH,5010,1318.38,0.0163936
NFDH,5010,1700.92,0.0004764
SF,5010,1478.76,0.0111438
FFDH,5020,1306.01,0.0160782
NFDH,5020,1670.73,0.0004577
SF,5020,1449.39,0.0104777
FFDH,5030,1317.78,0.0164847
NFDH,5030,1675.09,0.0004656
SF,5030,1474.24,0.0109032
FFDH,5040,1320.19,0.0166054
NFDH,5040,1699.3,0.0004577
SF,5040,1482.48,0.0108917
FFDH,5050,1303.54,0.0165591
NFDH,5050,1668.32,0.0004561
SF,5050,1454.47,0.0105719
FFDH,5060,1325.43,0.0165732
NFDH,5060,1700.08,0.0004905
SF,5060,1481.3,0.0133678
FFDH,5070,1296.59,0.0167013
NFDH,5070,1656.81,0.0004865
SF,5070,1450.68,0.0106063
FFDH,5080,1317.32,0.0167334
NFDH,5080,1682.38,0.0004775
SF,5080,1472.79,0.0109525
FFDH,5090,1301.24,0.0164468
NFDH,5090,1665.24,0.0004848
SF,5090,1468.05,0.0108258
FFDH,5100,1353.25,0.0165366
NFDH,5100,1725.7,0.0004648
SF,5100,1512.21,0.0113133
FFDH,5110,1321.38,0.016857
NFDH,5110,1690.08,0.0005181
SF,5110,1482.24,0.0113499
FFDH,5120,1322.2,0.0166334
NFDH,5120,1701.77,0.0004722
SF,5120,1502.67,0.0108904
FFDH,5130,1335.56,0.0169326
NFDH,5130,1712.5,0.0004639
SF,5130,1499.44,0.0107341
FFDH,5140,1353.49,0.0174297
NFDH,5140,1728.77,0.0006045
SF,5140,1516.14,0.0112536
FFDH,5150,1324.83,0.0172738
NFDH,5150,1699.96,0.0004952
SF,5150,1486.38,0.0117263
FFDH,5160,1358.21,0.0171132
NFDH,5160,1734.1,0.0004821
SF,5160,1523.78,0.0119386
FFDH,5170,1336.37,0.0173951
NFDH,5170,1711.16,0.000479
SF,5170,1498.22,0.0113085
FFDH,5180,1354.64,0.0176014
NFDH,5180,1743.09,0.0005971
SF,5180,1508.28,0.0113642
FFDH,5190,1358.42,0.0174669
NFDH,5190,1737.76,0.0004803
SF,5190,1517.29,0.0115639
FFDH,5200,1328.85,0.0174687
NFDH,5200,1699.97,0.0004933
SF,5200,1470.92,0.0114056
FFDH,5210,1367.8,0.0176159
NFDH,5210,1767.16,0.0004974
SF,5210,1539.66,0.0115871
FFDH,5220,1347.04,0.0180796
NFDH,5220,1736.04,0.0005045
SF,5220,1506.4,0.0114437
FFDH,5230,1335.08,0.0175246
NFDH,5230,1721.73,0.0009284
SF,5230,1496.87,0.0113225
FFDH,5240,1352.15,0.0181077
NFDH,5240,1729.27,0.0005626
SF,5240,1517.09,0.0119787
FFDH,5250,1378.88,0.017629
NFDH,5250,1763.32,0.0005047
SF,5250,1546.33,0.0115984
FFDH,5260,1365.78,0.0177548
NFDH,5260,1752.86,0.0004972
SF,5260,1529.54,0.0117675
FFDH,5270,1358.94,0.0174695
NFDH,5270,1750.94,0.0004861
SF,5270,1531.62,0.0115758
FFDH,5280,1365.88,0.017817
NFDH,5280,1745.74,0.0005214
SF,5280,1530.88,0.0113162
FFDH,5290,1392.1,0.0184092
NFDH,5290,1785.77,0.0006115
SF,5290,1562.06,0.0119483
FFDH,5300,1403.53,0.0181103
NFDH,5300,1797.22,0.0004826
